Belgium,1773
France,1744
Brazil,1712
England,1664
Portugal,1653
Uruguay,1645
Spain,1642
Croatia,1628
Argentina,1623
Colombia,1622
Mexico,1621
Italy,1612
Netherlands,1603
Germany,1602
Switzerland,1600
Denmark,1593
Chile,1579
Sweden,1567
Poland,1558
Senegal,1555
Wales,1550
Peru,1544
USA,1542
Ukraine,1539
Venezuela,1517
Tunisia,1506
Austria,1505
Japan,1500
Nigeria,1493
IR Iran,1489
Serbia,1486
Turkey,1485
Russia,1485
Romania,1483
Algeria,1482
Slovakia,1479
Republic of Ireland,1475
Northern Ireland,1468
Korea Republic,1464
Paraguay,1461
Australia,1457
Iceland,1457
Morocco,1456
Norway,1452
Czech Republic,1446
Costa Rica,1439
Ghana,1439
Jamaica,1438
Scotland,1428
Bosnia and Herzegovina,1426
