Belgium,1783.38
France,1757.3
Brazil,1742.65
England,1686.78
Portugal,1666.12
Spain,1648.13
Italy,1642.06
Argentina,1641.95
Uruguay,1639.08
Denmark,1631.55
Mexico,1629.56
Germany,1609.12
Switzerland,1606.21
Croatia,1605.75
Colombia,1600.66
Netherlands,1598.04
Wales,1570.36
Sweden,1569.81
Chile,1569.52
USA,1555.42
Poland,1549.87
Senegal,1542.45
Austria,1523.42
Ukraine,1514.64
Serbia,1512.9
Tunisia,1512.88
Peru,1511.88
Japan,1509.34
Turkey,1505.05
Venezuela,1500.71
IR Iran,1499.52
Nigeria,1487.16
Algeria,1486.69
Morocco,1479.32
Paraguay,1476.02
Slovakia,1475.24
Hungary,1468.75
Russia,1462.65
Korea Republic,1460.25
Czech Republic,1458.81
Australia,1457.49
Norway,1452.34
Romania,1449.23
Scotland,1441.43
Jamaica,1432.65
Egypt,1432.63
Republic of Ireland,1427.22
Northern Ireland,1425.74
Ghana,1425.26
Costa Rica,1423.4
