Belgium,1780
France,1755
Brazil,1743
England,1670
Portugal,1662
Spain,1645
Argentina,1642
Uruguay,1639
Mexico,1632
Italy,1625
Croatia,1617
Denmark,1614
Germany,1610
Netherlands,1609
Colombia,1601
Switzerland,1593
Chile,1567
Wales,1562
Poland,1559
Senegal,1558
Sweden,1558
USA,1548
Austria,1531
Ukraine,1521
Peru,1512
Tunisia,1503
Japan,1502
Venezuela,1501
IR Iran,1496
Serbia,1492
Algeria,1488
Turkey,1487
Morocco,1481
Slovakia,1478
Paraguay,1476
Nigeria,1474
Romania,1466
Korea Republic,1465
Russia,1461
Hungary,1460
Australia,1457
Republic of Ireland,1456
Czech Republic,1456
Norway,1450
Northern Ireland,1440
Iceland,1438
Jamaica,1437
Scotland,1436
Egypt,1432
Costa Rica,1427
