Belgium,1832.33
Brazil,1811.73
England,1755.44
France,1754.31
Italy,1735.73
Argentina,1725.31
Portugal,1674.9
Spain,1673.68
Mexico,1666.19
Denmark,1658.49
Netherlands,1648.2
Uruguay,1645.42
USA,1643.1
Germany,1627.8
Switzerland,1622.73
Colombia,1618.4
Croatia,1608.25
Sweden,1606.03
Wales,1563.59
Senegal,1555.37
Peru,1548.78
IR Iran,1538.08
Chile,1536.53
Poland,1531.82
Tunisia,1526.87
Japan,1520.46
Ukraine,1520.07
Serbia,1515.97
Austria,1504.82
Algeria,1498.62
Czech Republic,1494.78
Australia,1493.99
Morocco,1493.23
Nigeria,1492.37
Paraguay,1484.31
Korea Republic,1479.41
Russia,1475.43
Slovakia,1462.59
Norway,1461.76
Hungary,1456.93
Turkey,1455.44
Romania,1451.8
Qatar,1445.83
Costa Rica,1438.29
Scotland,1435.64
Greece,1435.43
Northern Ireland,1435.06
Egypt,1434.62
Venezuela,1434.14
Republic of Ireland,1418.7
