Belgium,1822.34
Brazil,1797.67
France,1761.77
England,1752.83
Italy,1744.67
Argentina,1714.43
Spain,1680.44
Portugal,1661.51
Mexico,1658.29
USA,1647.75
Denmark,1642.28
Netherlands,1637.48
Uruguay,1634.63
Switzerland,1621.37
Colombia,1617.67
Germany,1613.29
Sweden,1606.79
Croatia,1594.36
Wales,1567.29
Chile,1557.81
Senegal,1545.38
Peru,1543.16
Austria,1535.12
Japan,1529.45
Ukraine,1522.7
IR Iran,1522.04
Poland,1516.27
Tunisia,1515.3
Serbia,1507.19
Algeria,1498.75
Czech Republic,1492.65
Morocco,1487.89
Paraguay,1483.49
Nigeria,1479.58
Australia,1477.21
Korea Republic,1474.96
Hungary,1474.36
Slovakia,1467.4
Turkey,1463.91
Venezuela,1463.3
Russia,1462.24
Qatar,1455.23
Norway,1450.12
Costa Rica,1449.79
Romania,1439.7
Egypt,1432.63
Republic of Ireland,1429.44
Greece,1427.04
Scotland,1424.77
Jamaica,1423.06
