Brazil,1837.56
Belgium,1821.92
Argentina,1770.65
France,1764.85
England,1737.46
Spain,1716.93
Italy,1713.86
Netherlands,1679.41
Portugal,1678.65
Denmark,1665.47
Germany,1658.96
Mexico,1649.57
Uruguay,1643.71
USA,1635.01
Croatia,1632.15
Switzerland,1621.43
Colombia,1604.07
Senegal,1593.45
Wales,1582.13
Sweden,1563.44
Peru,1562.24
Morocco,1558.9
IR Iran,1558.64
Japan,1552.77
Serbia,1549.53
Poland,1546.18
Ukraine,1542.79
Korea Republic,1526.2
Chile,1514.86
Tunisia,1507.86
Nigeria,1504.7
Czech Republic,1502.9
Austria,1502.47
Costa Rica,1500.06
Russia,1493.42
Norway,1488.57
Hungary,1486.76
Cameroon,1484.95
Australia,1483.73
Egypt,1482.63
Algeria,1480.59
Turkey,1475.13
Canada,1473.82
Ecuador,1463.74
Scotland,1462.96
Mali,1447.74
Republic of Ireland,1442.48
Greece,1441.45
Qatar,1441.41
Paraguay,1440.13
