Belgium,1828.45
Brazil,1826.35
France,1786.15
England,1755.52
Argentina,1750.51
Italy,1740.77
Spain,1704.75
Portugal,1660.25
Denmark,1654.54
Netherlands,1653.73
USA,1648.51
Germany,1648.33
Switzerland,1642.83
Mexico,1638.3
Croatia,1620.74
Colombia,1607.15
Uruguay,1596.66
Sweden,1588.26
Wales,1578.01
Senegal,1561.68
IR Iran,1557.58
Peru,1551.15
Serbia,1547.38
Chile,1543.42
Ukraine,1535.08
Japan,1531.53
Poland,1530.62
Morocco,1529.93
Algeria,1516.51
Tunisia,1512.72
Austria,1511.56
Czech Republic,1510.42
Korea Republic,1507.24
Russia,1493.42
Australia,1484.88
Nigeria,1478.78
Turkey,1472.72
Scotland,1471.82
Hungary,1465.62
Canada,1462.32
Norway,1455.43
Slovakia,1455.36
Paraguay,1454.52
Romania,1453.18
Egypt,1451.77
Ecuador,1448.27
Republic of Ireland,1444.29
Qatar,1437.91
Costa Rica,1437.43
Cameroon,1437.35
