Belgium,1832.33
Brazil,1820.36
France,1779.24
Italy,1750.52
England,1750.16
Argentina,1738.79
Spain,1687.66
Portugal,1681.73
Mexico,1672.92
Denmark,1668.98
Netherlands,1652.01
Germany,1642.47
USA,1639.42
Switzerland,1633.8
Uruguay,1625.67
Colombia,1618.76
Sweden,1618.69
Croatia,1608.84
Wales,1566.77
Senegal,1564.95
Chile,1546.26
IR Iran,1545.02
Poland,1542.2
Peru,1534.06
Serbia,1527.34
Ukraine,1527.12
Tunisia,1525.3
Japan,1517.69
Morocco,1513
Algeria,1509.04
Czech Republic,1503.23
Austria,1501.09
Russia,1497.45
Australia,1489.86
Korea Republic,1489.1
Nigeria,1478.18
Norway,1471.62
Paraguay,1461.28
Turkey,1460.53
Slovakia,1454.16
Romania,1451.76
Scotland,1451.37
Hungary,1449.08
Egypt,1447.85
Costa Rica,1439.61
Qatar,1437.73
Greece,1434.83
Canada,1432.34
Saudi Arabia,1432.21
Venezuela,1431.51
